测试名称,消息数,字节数,持续时间(秒),平均吞吐量(MB/s),平均延迟(ms),最小延迟(ms),最大延迟(ms),P50延迟(ms),P90延迟(ms),P99延迟(ms),内存使用(MB),CPU使用(%),错误数,重试数
小消息吞吐量测试 (256字节, 2并发),20,5120,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
小消息吞吐量测试 (512字节, 5并发),250,128000,0.13,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
中等消息吞吐量测试 (50KB, 3并发),60,3072000,0.12,24.62,0.02,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,0
大消息吞吐量测试 (1MB, 2并发),10,10485760,0.12,82.88,1.00,0.00,2.00,1.00,2.00,2.00,0.00,0.00,0,0
超大消息吞吐量测试 (5MB, 1并发),2,10485760,0.13,79.73,4.50,4.00,5.00,4.00,4.00,4.00,0.00,0.00,0,0
低负载延迟测试 (1KB, 100ms间隔),298,305152,32.11,0.01,0.00,0.00,1.00,0.00,0.00,0.00,7.15,0.00,0,0
中等负载延迟测试 (10KB, 50ms间隔),587,6010880,32.07,0.18,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0,0
高负载延迟测试 (100KB, 10ms间隔),2725,279040000,32.12,8.29,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0,0
大消息延迟测试 (1MB, 500ms间隔),120,125829120,61.86,1.94,0.73,0.00,5.00,0.00,2.00,4.00,7.44,0.00,0,0
大消息延迟测试 (2MB, 500ms间隔),120,251658240,62.08,3.87,2.38,1.00,5.00,2.00,3.00,5.00,10.64,0.00,0,0
低并发测试 (20连接, 4KB消息),91,372736,0.19,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
中等并发测试 (50连接, 4KB消息),209,856064,0.26,3.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
高并发测试 (100连接, 4KB消息),418,1712128,5.37,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
大消息并发测试 (20连接, 1.00MB消息),92,96468992,0.18,501.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
长时间稳定性测试 (3m0s, 5连接),5867,304709815,180.37,1.61,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,55,0
错误恢复测试 (2m0s, 错误率:1/30),6714,176789932,120.80,1.40,0.00,0.00,0.00,0.00,0.00,0.00,20.71,0.00,155,0
大数据流测试 (1MB消息, 10.00GB总量),10240,10737418240,11.40,898.37,0.32,0.00,6.00,0.00,2.00,3.00,29.95,0.00,1,0
大数据流测试 (2MB消息, 10.00GB总量),5120,10737418240,11.80,867.85,0.77,0.00,4.00,1.00,2.00,3.00,25.85,0.00,1,0
